symbol,source_symbol,security,index,sector,industry,subindustry,snapshot_date
CPRT,CPRT,Copart,S&P 500,Industrials,Commercial Services & Supplies,Diversified Support Services,2026-07-15
CPRX,CPRX,"Catalyst Pharmaceuticals Partners, Inc.",S&P SmallCap 600,Health Care,Biotechnology,Biotechnology,2026-07-15
CPT,CPT,Camden Property Trust,S&P 500,Real Estate,Residential REITs,Multi-Family Residential REITs,2026-07-15
CR,CR,Crane,S&P MidCap 400,Industrials,Machinery,Industrial Machinery & Supplies & Components,2026-07-15
CRBG,CRBG,Corebridge Financial,S&P MidCap 400,Financials,Capital Markets,Asset Management & Custody Banks,2026-07-15
CRC,CRC,California Resources Corporation,S&P SmallCap 600,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,2026-07-15
CRGY,CRGY,Crescent Energy Company,S&P SmallCap 600,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,2026-07-15
CRH,CRH,CRH plc,S&P 500,Materials,Construction Materials,Construction Materials,2026-07-15
CRI,CRI,"Carter's, Inc.",S&P SmallCap 600,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",2026-07-15
CRK,CRK,"Comstock Resources, Inc.",S&P SmallCap 600,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,2026-07-15
CRL,CRL,Charles River Laboratories,S&P 500,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,2026-07-15
CRM,CRM,Salesforce,S&P 500,Information Technology,Software,Application Software,2026-07-15
CROX,CROX,Crocs,S&P MidCap 400,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Footwear,2026-07-15
CRS,CRS,Carpenter Technology,S&P MidCap 400,Industrials,Machinery,Industrial Machinery & Supplies & Components,2026-07-15
CRSR,CRSR,Corsair Gaming,S&P SmallCap 600,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",2026-07-15
CRUS,CRUS,Cirrus Logic,S&P MidCap 400,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,2026-07-15
CRVL,CRVL,CorVel Corporation,S&P SmallCap 600,Health Care,Health Care Providers & Services,Health Care Services,2026-07-15
