alpha,sharpe,turnover,cents_per_share,daily_volatility,daily_return,annual_return,log_turnover,centered_log_turnover
alpha058,-0.45090496964738114,0.8792273764229193,-0.1382619551351394,0.0011207281255409473,-0.00003183354631736401,-0.008022053671975731,-0.12871173849883755,0.11477566361725822
alpha059,0.21169813427408432,0.6781098538173553,0.08356673417341941,0.0011172529470459226,0.000014899382481182237,0.0037546443852579238,-0.38844597788729623,-0.14495857577120047
alpha060,0.16380953443558233,1.3839285168883004,0.07814770822264001,0.0030802730632579155,0.00003178543238465556,0.008009928960933202,0.3249262062144071,0.5684136083305029
alpha061,0.5256090849718646,0.23549059156702232,0.9211011137874575,0.0015379768477519346,0.0000509228135107387,0.012832549004706153,-1.4460843172068547,-1.202596915090759
alpha062,-0.2091808550842637,0.5921425541155164,-0.12552465994168482,0.0014611819798124445,-0.00001925422183437045,-0.0048520639022613535,-0.5240078722152028,-0.2805204700991071
alpha063,0.21589561703824298,0.386679255004608,0.26011054568808517,0.001782952889845773,0.00002424841875686871,0.006110601526730916,-0.950159728033373,-0.7066723259172772
alpha064,0.6076427065316196,0.3416998584149007,0.8281609367542754,0.001668642223647268,0.00006387210775565927,0.016095771154426137,-1.0738225342159644,-0.8303351320998686
alpha065,0.5294875571353599,0.39808124786231874,0.5203961326269285,0.0015274784613579272,0.00005094840393721989,0.012838997792179412,-0.9210991541739221,-0.6776117520578263
alpha066,0.8071364188848069,0.6874419236370707,0.8822040520363199,0.002971147993269965,0.0001510674706547879,0.038069002605006556,-0.3747779277193153,-0.13129052560321952
alpha067,0.43800449786229434,1.1687428092420722,0.27580208257654126,0.002609827802800452,0.00007200955934470794,0.018146408954866404,0.15592864908168075,0.3994160511977765
alpha068,0.5236171641203412,0.6343388627094293,0.3267066180162631,0.0014711324143043322,0.000048524980384090464,0.012228295056790798,-0.4551719835616693,-0.21168458144557356
alpha069,0.1419039606370803,0.7558390815735853,0.1076533308691179,0.002354195620867296,0.00002104441192932311,0.005303191806189424,-0.27992678052085296,-0.036439378404757194
alpha070,0.7198967250589922,1.107785513449632,0.575675369340501,0.003000857295186802,0.00013608657083150075,0.03429381584953819,0.1023629896669764,0.3458503917830722
alpha071,0.942650976131187,0.8342744086867884,0.5005971450339352,0.0018447159016427347,0.0001095418680065174,0.027604550737642387,-0.18119290353858566,0.0622944985775101
alpha072,-0.19110849114197068,0.4912185521020265,-0.15940674654838377,0.0016982962801073472,-0.000020445285128526914,-0.005152211852388782,-0.7108661339250824,-0.4673787318089866
alpha073,-0.25993201782761194,0.9365973405535652,-0.20167302016529534,0.0030298148480093485,-0.0000496107276972452,-0.012501903379705791,-0.0655018217054807,0.17798558041061507
alpha074,0.027614133706412036,0.24621449141225218,0.025250738665870857,0.0009522337212712273,1.6564361881488528e-6,0.00041742191941351094,-1.4015522066380215,-1.1580648045219257
