alpha,days,annual_return,annual_volatility,sharpe,max_drawdown,mean_ic,ic_ir,mean_rank_ic,rank_ic_ir,mean_turnover,mean_coverage,mean_return_coverage,paper_turnover,cents_per_share
alpha031,883,0.031672022367734975,0.04368657281688863,0.7249829942139798,-0.038264591955482596,0.0020944113727680955,0.5266483262709376,0.0024620264167729312,0.48155864066090415,0.3051459598414217,0.9990783424999031,0.999997736000336,0.6202878129510608,0.7941386304171991
alpha032,883,0.0662454602615059,0.04583621273556307,1.445264700285935,-0.03573810694972823,0.007993418483839065,1.709029748544165,0.012440176909527602,2.0224509827508923,0.19362708352175897,0.9926803985346034,0.999997729443188,0.40066559601723484,3.7053116210644417
alpha033,883,0.04784200509097566,0.07121667486565804,0.671780944297442,-0.07657549132576813,0.0048313945855418565,0.6443585769706526,0.011517776653839512,1.334823331810149,0.7694329039512692,1.0,0.999997737004995,1.545603466438296,0.4234825071487224
alpha034,883,0.028355012121338303,0.04660899687482353,0.6083592014968818,-0.04917509926276775,0.003848635168799198,0.6981130624039517,0.00784107964521993,1.1907587265247974,0.7671123837081678,0.99982192572528,0.999997737004995,1.5391406667453975,0.30264650420657524
alpha035,883,0.06343460645122972,0.05280237204333319,1.2013590298400045,-0.05134920747483762,0.010321966317119628,1.777918776884079,0.013103880130497712,1.766812834459989,0.6062422906801264,0.9990141900632725,0.9999977354966656,1.2205858861572243,0.7814113702154661
alpha036,883,0.0035437979883340643,0.03435152155651911,0.10316276624030749,-0.05804843478506583,0.0012174557647236387,0.299655623284345,0.004202310692016487,0.9019156878121367,0.4632399729729013,0.993745213654847,0.999997729443188,0.9346269820399241,0.061919590523217626
alpha037,883,0.061993319743214564,0.04621369938320608,1.341448976615422,-0.037545645043569276,0.006756385540706931,1.2076721280217613,0.011085299246179065,1.6437910460955392,0.5500217155090183,0.9937147737411559,0.999997729443188,1.1078815513552434,0.9859658891823602
alpha038,883,0.06507616739061052,0.0650308117177544,1.0006974489731573,-0.05941618989861008,0.006819640386325628,0.986358417343654,0.014417870329877994,1.7053715285856597,0.6511687925516566,0.9997319891192634,0.999997737004995,1.309877166288722,0.7063648212571659
alpha039,883,0.029548255489158105,0.0596415179614927,0.4954309765931144,-0.06866899040865371,0.004676235383196862,0.6430053723531998,0.005512524503556494,0.6686341168846266,0.2722917089452449,0.9921861816887826,0.999997729443188,0.5559897451136232,1.0894348415576771
alpha040,883,-0.007963028405472085,0.04107606586906113,-0.19386054231327715,-0.06962900657475657,-0.00005552640568420766,-0.012062694304853116,0.0015745365014903292,0.30767027674952785,0.23001061812797816,0.9997319891192634,0.999997737004995,0.4724853847322138,-0.4338604048422433
alpha041,883,0.02803699638460613,0.048643972909304015,0.5763714332478703,-0.061229167457429345,0.0029518012435077257,0.7085642485305729,0.008087686188310855,1.1913675845117686,0.7053387455412082,1.0,0.999997737004995,1.416585753530792,0.4850619699262789
alpha042,883,0.08199767155188803,0.05831209728082843,1.4061862868178272,-0.04264722890605133,0.009000446242476905,1.7923763371107828,0.00245279967339131,0.30978580329719135,0.4232448475932485,1.0,0.999997737004995,0.8562395724621766,2.1249927299463915
alpha043,883,0.06418745661013137,0.04294494357328264,1.4946452659927196,-0.0339559454083197,0.008416232269783313,1.6158538436845056,0.013110353254593848,2.219735538024812,0.5447717394822752,0.9988262921906738,0.9999977354966656,1.0981280327024239,0.8815290197892176
alpha044,883,0.007655007077194899,0.02639832468739648,0.2899807911238276,-0.04138756440748237,0.001674341894966085,0.5598570765017451,0.004903262935083269,1.5935727122620196,0.4480337656716655,0.9998808709726018,0.999997737004995,0.9055748326506975,0.1272102880235984
