alpha,sharpe,turnover,cents_per_share,daily_volatility,daily_return,annual_return,log_turnover,centered_log_turnover
alpha077,0.9337396150130715,0.686471566974496,9.422690814378512,0.008609755077701087,0.0005064263698298129,0.12761944519711285,-0.3761904720032896,-0.2518373292516566
alpha078,-0.5567753970892542,0.6750060906839978,-6.2944907198755695,0.008965176800404567,-0.0003144406059724058,-0.07923903270504627,-0.39303356491476416,-0.26868042216313115
alpha079,0.38368917706653566,0.8674820806177324,3.2737964215730675,0.008041655911484721,0.0001943679996192512,0.048980735904051304,-0.1421604237229034,-0.01780728097127038
alpha080,-0.06752955002539292,1.0785262612093727,-0.40296528094206574,0.008583523228763245,-0.000036513979907258364,-0.009201522936629108,0.07559553630433027,0.1999486790559633
alpha081,-0.36710642190548376,0.5236749653455466,-4.752314486238701,0.00795213058187701,-0.00018389724135129122,-0.04634210482052539,-0.6468840822658064,-0.5225309395141734
alpha082,0.5033182910208849,0.5865299630117673,6.664125895786442,0.009486790898058371,0.0003007888762456364,0.07579879681390038,-0.5335315243644454,-0.4091783816128124
alpha083,0.47615415039225595,1.5249357296850998,2.775550844158544,0.009689261631666878,0.00029062835704805423,0.07323834597610968,0.42195226470248487,0.5463054074541179
alpha084,0.24557336457482085,0.8802121093772558,2.5882821644103644,0.009630587107338629,0.00014898198411477618,0.0375434599969236,-0.12759236717051864,-0.0032392244188856056
alpha085,0.4801240193274991,0.7055659970596186,4.474573759640061,0.008250638216826823,0.00024954030802224917,0.06288415762160679,-0.3487549655589863,-0.22440182280735324
alpha086,0.6010015753255777,0.9211713318158165,4.969847910923029,0.008706991596076526,0.00032964270197431814,0.08306996089752818,-0.08210923199769615,0.04224391075393688
alpha087,0.16595975874895413,0.9220603552474517,1.4556619566390345,0.009024996509196562,0.00009435166469303944,0.02377661950264594,-0.08114459634520296,0.04320854640643007
alpha088,-0.33289768839431866,0.5546978144749714,-5.14145905625724,0.009789353279000624,-0.00020528844767244095,-0.05173268881345512,-0.5893317919413812,-0.4649786491897482
alpha089,0.40307943411914987,0.8082731032907278,3.1702901445152585,0.008178451456895842,0.00020766411235945232,0.05233135631458199,-0.212855278447689,-0.08850213569605597
alpha090,0.4998247685784998,1.1718064525114888,3.4045150906744106,0.00905216947670849,0.00028501661606841294,0.07182418724924007,0.15854653460894338,0.2828996773605764
alpha091,0.01950628008057741,0.7799310054622994,0.14836530486900612,0.007818379594411099,9.607069613022232e-6,0.0024209815424816026,-0.24854981774634632,-0.12419667499471329
alpha092,0.06449103961330335,0.6785278141115549,0.6374904169940031,0.00834123578462029,0.00003388671774504999,0.008539452871752598,-0.38782980701528813,-0.2634766642636551
alpha093,0.6536186697610495,0.4270245459904535,11.33260691260027,0.008983018515211445,0.00036986775664293485,0.09320667467401958,-0.8509137826505374,-0.7265606398989044
alpha094,0.1628385292104438,0.6901790191908507,1.8213408247715512,0.00957132539234974,0.00009818134600474272,0.024741699193195167,-0.37080426693898855,-0.2464511241873555
alpha095,0.35163387353404746,0.4629211334348491,5.25997220610242,0.008785101434138166,0.0001945974812369723,0.04903856527171702,-0.7701985775587676,-0.6458454348071346
alpha096,-0.3889591925171719,0.7113876678429162,-3.7429654762427282,0.008822559124054693,-0.0002161714556262481,-0.05447520681781452,-0.3405377546715696,-0.21618461191993657
alpha097,-0.3169683208859875,0.6171957317171249,-3.716538114629415,0.008579385121241985,-0.0001713056756784442,-0.04316903027096794,-0.48256907407581745,-0.3582159313241844
alpha098,-0.3830535524307562,0.5904542548263144,-4.4495236743509246,0.008578777070070754,-0.00020700679730425685,-0.05216571292067273,-0.5268631148869437,-0.4025099721353107
alpha099,-0.5323351530420798,0.524907664367378,-6.6409428231520495,0.007866070783472635,-0.00026378052344073295,-0.0664726919070647,-0.6445329092542266,-0.5201797665025936
alpha100,0.21894654441670044,1.3609972384326086,0.9469805389567745,0.008835859290265879,0.00012186713911630402,0.030710519057308615,0.30821769459497694,0.43257083734660995
alpha101,0.43286301157402196,1.604381955043918,1.9904627526015435,0.009675309432938454,0.00026382446714584904,0.06648376572075396,0.4727386076826712,0.5970917504343042
