alpha_i,alpha_j,observations,correlation,turnover_sum,turnover_product,demeaned_correlation,turnover_model_contribution
alpha013,alpha002,876,0.09543552409348807,-0.2559024259563536,0.016057616960168854,-0.019507936770729886,0.004950570381866726
alpha013,alpha003,874,0.23092770430469667,-0.5712129970048849,0.050815595313747165,0.11598424344047871,0.01534463330030487
alpha013,alpha004,875,0.18321125143353523,-0.5238828801417716,0.04559820227827162,0.06826779056931727,0.01378441852229633
alpha013,alpha005,874,0.10273111220818591,0.11900821091971603,-0.025270321261918187,-0.012212348656032046,-0.007408180342928344
alpha013,alpha006,874,0.24908823516310302,-0.4191745817503583,0.03405577679971514,0.13414477429888505,0.010332759296461396
alpha013,alpha007,859,0.08597691024368304,-0.047622576999914,-0.0069019256185676925,-0.028966550620534923,-0.0019152757186841442
alpha013,alpha008,868,0.17401670659571933,-0.33113324709284153,0.024350619138587725,0.05907324573150137,0.007430518598312873
alpha013,alpha009,878,-0.04308794745427004,0.4171181208385691,-0.0581322001437139,-0.158031408318488,-0.01723523165301451
alpha013,alpha010,879,-0.046050442690988305,0.4115378352755045,-0.05751706236332552,-0.16099390355520626,-0.017051280195083788
alpha013,alpha011,879,-0.059592679891258396,0.2255943588181913,-0.037019749798763164,-0.17453614075547635,-0.010921741984095736
alpha013,alpha012,879,0.20839176690050276,0.3767074018401551,-0.05367756073365993,0.0934483060362848,-0.015903111532677063
alpha014,alpha001,860,-0.16856704691258959,0.3308812775010661,0.02568218029140241,-0.28351050777680753,0.006919493901702752
alpha014,alpha002,874,0.056715224015155004,-0.02131812783634421,-0.018113884050481015,-0.058228236849062955,-0.005166404327563938
alpha014,alpha003,874,0.26132565456721213,-0.33662869888487545,-0.05732281469614177,0.14638219370299416,-0.015986443812450974
alpha014,alpha004,874,0.2184615058406056,-0.2892985820217622,-0.05143730548734586,0.10351804497638765,-0.014362287249668365
alpha014,alpha005,874,0.2234485748476882,0.35359250903972544,0.02850632633673046,0.10850511398347025,0.007698841137609041
alpha014,alpha006,874,0.6210921363642935,-0.1845902836303489,-0.03841680828041215,0.5061486755000756,-0.010769169774339424
alpha014,alpha007,859,0.07097586647646016,0.1869617211200954,0.007785755550770403,-0.0439675943877578,0.001980822554557057
alpha014,alpha008,868,0.1912028847225573,-0.09654894897283209,-0.027468851245357126,0.07625942385833935,-0.007747987471035476
alpha014,alpha009,874,0.04045039753168119,0.6517024189585785,0.06557635143586812,-0.07449306333253677,0.01792863135819014
alpha014,alpha010,874,-0.003466698868472916,0.6461221333955139,0.06488244184413577,-0.11841015973269087,0.0177371410763118
alpha014,alpha011,874,-0.08484455132665057,0.4601786569382007,0.04176033449396482,-0.19978801219086853,0.01135639795522048
alpha014,alpha012,874,0.17605801426809942,0.6112916999601645,0.060551270693154226,0.06111455340388146,0.016541917383706185
alpha014,alpha013,874,0.24800385375508868,0.014116089661317999,-0.013707632234282771,0.13306039289087074,-0.0039504614837644865
alpha015,alpha001,862,-0.12767641157495607,-0.10868457202385054,-0.0651018309291057,-0.24261987243917404,-0.018524957448167872
alpha015,alpha002,876,0.018122542853638565,-0.46088397736126085,0.04591693553832009,-0.09682091801057939,0.013790860154383341
alpha015,alpha003,874,0.15050078113177362,-0.7761945484097921,0.14530776391979355,0.03555732026755566,0.0427219677818904
